Feature ID	Taxon
815f4b61e78c9de413291b4f2d3b8585	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__Clostridia_UCG-014; g__Clostridia_UCG-014; s__uncultured_bacterium
6a5c8ea278e8e6a0bf0b05dfe9ab270d	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia
df4a4388bba4812538e81e5f472bb2bf	d__Eukaryota
2c3c750344199e420473a156559ae921	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
b201b91ed7979c66d31492ab05bfa0ab	Unassigned
a248ad2173dd4da0048309514b58e1d4	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NC2004_group; s__uncultured_bacterium
97245ddbb4741580d531bd14ece472b8	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
f7bf12ce65d69b7263d41a3f18d8f7f4	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae; g__Butyricicoccus
803d946281ceec56f6e751b026d64525	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__Treponema_succinifaciens
cb5c737fd70d72ddcb15702939254515	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__Treponema_succinifaciens
f2e0fe13b458c8e9a8e5876fdb0a1ec8	Unassigned
a355824cce6fe9d45671dee3fae312d0	Unassigned
010f4ee008dbc38ec87deefd188780c2	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_coprocola
07cdac911d1e3c4cceb839918887093a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_NK3B31_group
d8e0d7c784efbcaa86a6d7bc430e8044	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_NK3B31_group; s__uncultured_organism
2be8b93d8c60617cdabebd8be698db79	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_cellulosilyticus
